IATA,ICAO,Airport Name,Country Code
AID,KAID,Municipal,US
AIE,AYAO,Aiome,PG
AIF,SNAX,Assis,BR
AIG,FEFY,Yalinga,CF
AIH,AYAK,Aiambak,PG
AII,HDAS,Alisabieh,DJ
AIK,KAIK,Municipal,US
AIN,PAWI,Wainwright,US
AIO,KAIO,Municipal,US
AIP,VIAX,Ailinglapalap Island,MH
AIR,SSOU,Aripuana,BR
AIS,NGTR,Arorae Island,KI
AIT,NCAI,Aitutaki Airport,CK
AIU,NCAT,Atiu Island,CK
AIV,KAIV,George Downer,US
AIW,FYAA,Ai-ais,NA
AIZ,KAIZ,Lee C Fine Memorial,US
AJA,LFKJ,Ajaccio Napoleon Bonaparte Airport,FR
AJF,OESK,Jouf Airport,SA
AJI,LTCO,Agri Airport,TR
AJJ,GQNJ,Akjoujt,MR
AJK,OIHR,Araak,IR
AJL,VELP,Aizawl Airport,IN
AJN,FMCV,Ouani,KM
AJR,ESNX,Arvidsjaur Airport,SE
AJU,SBAR,Aracaju Airport,BR
AJY,DRZA,Agades,NE
AKA,ZLAK,Ankang,CN
AKB,PAAK,Atka,US
AKC,KAKR,Fulton International,US
AKD,VAAK,Akola,IN
AKE,FOGA,Akieni,GA
AKF,HLKF,Kufrah,LY
AKG,AYGU,Anguganak,PG
AKH,OEPS,Prince Sultan Air Base,SA
AKI,PFAK,Akiak,US
AKJ,RJEC,Asahikawa Airport,JP
AKK,PAKH,Akhiok SPB,US
AKL,NZAA,Auckland Airport,NZ
AKN,PAKN,King Salmon Airport,US
AKO,KAKO,Colorado Plains Regional Airport,US
AKP,PAKP,Anaktuvuk,US
AKR,DNAK,Akure,NG
AKS,AGGA,Gwaunaru'u,SB
AKT,LCRA,Raf Akrotiri,CY
AKU,ZWAK,Aksu Airport,CN
AKV,CYKO,Akulivik,CA
AKW,OIAG,Aghajari,IR
AKX,UATT,Aktyubinsk Airport,KZ
AKY,VYSW,Civil Airport,MM
ALA,UAAA,Almaty Airport,KZ
ALB,KALB,Albany International Airport,US
ALC,LEAL,Alicante-Elche Airport,ES
ALD,SPAR,Alerta,PE
ALF,ENAT,Alta Airport,NO
ALG,DAAG,Houari Boumediene Airport,DZ
ALH,YABA,Albany Airport,AU
ALI,KALI,International,US
ALJ,FAAB,Alexander Bay Airport,ZA
ALL,LIMG,Albenga,IT
ALM,KALM,Municipal,US
ALN,KALN,Alton,US
ALO,KALO,Waterloo Airport,US
ALP,OSAP,Nejrab,SY
ALQ,SSLT,Federal,BR
ALR,NZLX,Alexandra,NZ
ALS,KALS,Alamosa Municipal Airport,US
ALT,SDWQ,Alenquer,BR
ALU,HCMA,Alula,SO
ALW,KALW,Walla Walla Airport,US
ALX,KALX,Thomas C Russell Field,US
ALY,HEAX,El Nohza,EG
AMA,KAMA,Rick Husband Amarillo International Airport,US
AMB,FMNE,Ambilobe,MG
AMC,FTTN,Am Timan,TD
AMD,VAAH,Ahmedabad Airport,IN
AMF,AYAA,Ama,PG
AMH,HAAM,Arba Mintch Airport,ET
AMI,WADA,Selaparang,ID
AMJ,SNAR,Almenara,BR
AMM,OJAI,Queen Alia International Airport,JO
AMN,KAMN,Gratiot Community,US
AMO,FTTU,Mao,TD
AMP,FMSY,Ampanihy,MG
AMQ,WAPP,Pattimura Airport,ID
AMS,EHAM,Amsterdam Airport Schiphol,NL
AMT,YAMT,Amata,AU
AMU,AYAM,Amanab,PG
AMV,ULDD,Amderma,RU
AMW,KAMW,Ames,US
AMX,YAMM,Ammaroo,AU
AMZ,NZAR,Ardmore,NZ
ANA,HKOM,John Wayne International,US
ANB,KANB,Anniston Metropolitan,US
ANC,PANC,Ted Stevens Anchorage International Airport,US
AND,KAND,Anderson,US
ANE,LFJR,Angers-Marce Airport,FR
ANF,SCFA,Cerro Moreno International Airport,CL
ANG,LFBU,Brie-Champniers,FR
ANI,PANI,Aniak Airport,US
ANJ,FCBZ,Zanaga,CG
ANK,LTAD,Etimesgut,TR
ANM,FMNH,Antsirabato,MG
ANN,PANT,Annette Island,US
ANO,FQAG,Angoche,MZ
ANP,KANP,Lee,US
ANQ,KANQ,Tri-State Steuben County,US
ANR,EBAW,Antwerp International Airport,BE
ANS,SPHY,Andahuaylas,PE
ANU,TAPA,V.C. Bird International Airport,AG
ANV,PANV,Anvik Airport,US
ANW,KANW,Ainsworth,US
ANX,ENAN,Andenes Airport,NO
ANY,KANY,Anthony,US
AOC,EDAC,Altenburg Nobitz,DE
AOE,LTBY,Anadolu University,TR
AOG,ZYAS,Anshan Teng'ao Airport,CN
AOH,KAOH,Allen County,US
AOI,LIPY,Ancona Falconara Airport,IT
AOJ,RJSA,Aomori Airport,JP
AOK,LGKP,Karpathos Airport,GR
AOL,SARL,Paso De Los Libres,AR
AOM,OOAD,Adam Airport,OM
AOO,KAOO,Altoona Airport,US
AOP,SPAS,Alferez FAP Alfredo Vladimir Sara Bauer Airport,PE
AOR,WMKA,Sultan Abdul Halim Airport,MY
AOS,AK81,Amook,US
AOT,LIMW,Corrado Gex,IT
AOU,VLAP,Attopeu,LA
APA,KAPA,Centennial Airport,US
APB,SLAP,Apolo,BO
APC,KAPC,Napa County,US
APE,SPAO,San Juan Aposento,PE
APF,KAPF,Naples Municipal Airport,US
APG,KAPG,Phillips AAF,US
APH,KAPH,Camp A P Hill,US
API,SKAP,Apiay,CO
APJ,ZUPL,Ngari Burang Airport,CN
APK,NTGD,Apataki,PF
APL,FQNP,Nampula Airport,MZ
APN,KAPN,Alpena County Regional Airport,US
APO,SKLC,Apartado Airport,CO
APQ,SNAL,Arapiraca,BR
APR,AYPE,April River,PG
APS,SWNS,Anapolis,BR
APT,KAPT,Marion County,US
APU,SSAP,Apucarana,BR
APV,KAPV,Apple Valley,US
APW,NSFA,Faleolo Airport,WS
APX,SSOG,Arapongas,BR
APY,SNAI,Alto Parnaiba,BR
APZ,SAHZ,Zapala,AR
AQA,SBAQ,Araraquara,BR
AQB,MGQC,Quiche Airport,GT
AQG,ZSAQ,Anqing Tianzhushan Airport,CN
AQI,OEPA,Qaisumah Airport,SA
AQJ,OJAQ,King Hussein International Airport,JO
AQM,SJOG,Ariquemes,BR
AQP,SPQU,Rodriguez Ballon International Airport,PE
AQS,NFBG,Saqani,FJ
ARA,KARA,Acadiana Regional,US
ARB,KARB,Municipal,US
ARC,PARC,Arctic Village,US
ARD,WATM,Alor Island Airport,ID
ARE,TJAB,Arecibo,PR
ARG,KARG,Walnut Ridge,US
ARH,ULAA,Talagi Airport,RU
ARI,SCAR,Chacalluta Airport,CL
ARJ,WAJA,Arso,ID
ARK,HTAR,Arusha Airport,TZ
ARL,DFER,Arly,BF
ARM,YARM,Armidale Airport,AU
ARN,ESSA,Stockholm Arlanda Airport,SE
ARQ,SKAT,Arauquita,CO
ARR,SAVR,Alto Rio Senguerr,AR
ARS,SJVO,Aragarcas,BR
ART,KART,Watertown Airport,US
ARU,SBAU,Aracatuba Airport,BR
ARV,KARV,Noble F. Lee,US
ARW,LRAR,Arad,RO
ARX,SBAC,Asbury Park,US
ARY,YARA,Ararat,AU
ARZ,FNZE,N'zeto,AO
ASA,HHSB,Assab International,ER
ASB,UTAA,Ashgabat Airport,TM
ASC,SLAS,Ascension,BO
ASD,MYAF,Andros Town,BS
ASE,KASE,Aspen Airport,US
ASF,URWA,Astrakhan Airport,RU
ASG,NZAS,Ashburton,NZ
ASH,KASH,Boire Field,US
ASI,FHAW,Saint Helena Airport,SH
ASJ,RJKA,Amami Airport,JP
ASK,DIYO,Yamoussoukro,CI
ASL,KASL,Harrison County,US
ASM,HHAS,Asmara International Airport,ER
ASN,KASN,Talladega,US
ASO,HASO,Asosa Airport,ET
ASP,YBAS,Alice Springs Airport,AU
ASQ,KTMT,Austin,US
ASR,LTAU,Kayseri Airport,TR
ASS,FAAR,Arathusa Safari Lodge,ZA
AST,KAST,Astoria,US
ASU,SGAS,Silvio Pettirossi International Airport,PY
ASV,HKAM,Amboseli,KE
ASW,HESN,Aswan Airport,EG
ASX,KASX,Ashland,US
ASY,KASY,Ashley,US
ATA,SPHZ,Anta,PE
ATB,HSAT,Atbara,SD
ATC,MYCA,Arthur's Town,BS
ATD,AGAT,Atoifi,SB
ATE,80F,Antlers,US
ATF,SEAM,Chachoan,EC
ATG,OPMS,Attock,PK
ATH,LGAV,Eleftherios Venizelos International Airport,GR
ATI,SUAG,Artigas,UY
ATJ,FMME,Antsirabe,MG
ATK,PATQ,Atqasuk Edward Burnell Sr. Memorial Airport,US
ATL,KATL,Hartsfield-Jackson Atlanta International Airport,US
ATM,SBHT,Altamira Airport,BR
ATN,AYNX,Namatanai,PG
ATO,KUNI,Ohio University,US
ATP,AYAI,Airstrip,PG
ATQ,VIAR,Sri Guru Ram Dass Jee International Airport,IN
ATR,GQPA,Mouakchott,MR
ATS,KATS,Artesia,US
ATU,PAAT,Casco Cove,US
ATV,FTTI,Ati,TD
ATW,KATW,Outagamie County Regional Airport,US
ATY,KATY,Watertown Airport,US
ATZ,HEAT,Assiut Airport,EG
AUA,TNCA,Reina Beatrix International Airport,AW
AUC,SKUC,Arauca Airport,CO
AUD,YAGD,Augustus Downs,AU
AUF,LFLA,Auxerre Branches,FR
AUG,KAUG,Augusta Airport,US
AUH,OMAA,Abu Dhabi International Airport,AE
AUI,AYND,Aua Island,PG
AUJ,AYAT,Ambunti,PG
AUK,PAUK,Alakanuk Airport,US
AUM,KAUM,Austin,US
AUN,KAUN,Auburn,US
AUO,KAUO,Auburn-Opelika,US
AUP,AYAG,Agaun,PG
AUQ,NTMN,Hiva Oa Airport,PF
AUR,LFLW,Aurillac Airport,FR
AUS,KAUS,Austin-Bergstrom International Airport,US
AUT,WPAT,Atauro,ID
AUU,YAUR,Aurukun Mission,AU
AUV,AYUM,Aumo,PG
AUW,KAUW,Municipal,US
AUX,SWGN,Araguaina Airport,BR
AUY,NVVA,Aneityum,VU
AUZ,KARR,Municipal Airport,US
AVA,ZUAS,An Shun/Huang Guo Shu Airport,CN
AVB,LIPA,Aviano,IT
AVG,YAUV,Auvergne,AU
AVI,MUCA,Maximo Gomez,CU
AVK,ZMAH,Arvaikheer,MN
AVL,KAVL,Asheville Regional Airport,US
AVN,LFMV,Avignon-Caumont Airport,FR
AVO,KAVO,Municipal,US
AVP,KAVP,Wilkes-Barre/Scranton International Airport,US
AVR,LPAR,Alverca,PT
AVU,AGGJ,Avu Avu,SB
AVV,YMAV,Avalon Airport,AU
AVW,KAVQ,Avra Valley,US
AVX,KAVX,Avalon Bay,US
AWA,HALA,Awassa,ET
AWB,AYAW,Awaba Airport,PG
AWD,NVVB,Aniwa,VU
AWE,FOGW,Alowe,GA
AWK,PWAK,Wake Island,UM
AWM,KAWM,Municipal,US
AWN,YADS,Alton Downs,AU
AWP,YAUS,Austral Downs Airport,AU
AWZ,OIAW,Ahwaz Airport,IR
AXA,TQPF,Clayton J. Lloyd International Airport,AI
AXB,89NY,Alexandria Bay,US
AXC,YAMC,Aramac,AU
AXD,LGAL,Demokritos Airport,GR
AXE,SSXX,Xanxere,BR
AXF,ZBAL,Alxa Left Banner,CN
AXG,KAXA,Algona,US
AXJ,RJDA,Amakusa,JP
AXK,OYAT,Ataq,YE
AXL,YALX,Alexandria,AU
AXM,SKAR,El Eden Airport,CO
AXN,KAXN,Alexandria,US
AXP,MYAP,Springpoint Airport,BS
AXR,NTGU,Arutua Airport,PF
AXS,KAXS,Altus/Quartz Mountain Regional Airport,US
AXT,RJSK,Akita Airport,JP
AXU,HAAX,Axum Airport,ET
AXV,KAXV,Neil Armstrong,US
AXX,KAXX,Angel Fire,US
AYG,SKYA,Yaguara,CO
AYJ,VEAY,Maharishi Valmiki International Airport,IN
AYK,UAUR,Arkalyk,KZ
AYL,YANL,Anthony Lagoon,AU
AYN,ZHAY,Anyang Airport,CN
AYO,SGAY,Ayolas,PY
AYP,SPHO,Yanamilla Airport,PE
AYQ,YAYE,Connellan Airport,AU
AYR,YAYR,Ayr,AU
AYS,KAYS,Ware County,US
AYT,LTAI,Antalya Airport,TR
AYU,AYAY,Aiyura,PG
AYW,WASA,Ayawasi,ID
AYX,SPAY,Gerardo Pérez Pinedo,PE
AZA,KIWA,Phoenix-Mesa Gateway Airport,US
AZD,OIYY,Yazd Airport,IR
AZG,MMAG,Apatzingan,MX
AZH,VEAH,Azamgarh Airport,IN
AZI,OMAD,Bateen,AE
AZL,SWTU,Fazenda Tucunare Airport,BR
AZN,UTFA,Andizhan Airport,UZ
AZO,KAZO,Kalamazoo Battle Creek International Airport,US
AZP,MMJC,Atizapan,MX
AZR,DAUA,Adrar Airport,DZ
AZS,MDCY,Samaná El Catey International,DO
AZZ,FNAM,Ambriz,AO
BAA,AYBL,Bialla,PG
BAB,KBAB,Beale AFB,US
BAD,KBAD,Barksdale AFB,US
BAE,LFMR,Barcelonnette,FR
BAF,KBAF,Barnes,US
BAG,RPUB,Loakan,PH
BAH,OBBI,Bahrain International Airport,BH
BAI,MRBA,Buenos Aires,CR
BAL,LTCJ,Batman Airport,TR
BAM,KBAM,Lander County,US
BAN,FZVR,Basongo,CD
BAQ,SKBQ,E Cortissoz Airport,CO
BAR,ZJQH,Baker AAF,US
BAS,AGGE,Balalae,SB
BAT,SNBA,Airport Chafei Amsei,BR
BAV,ZBOW,Baotou Airport,CN
BAX,UNBB,Barnaul Gherman Titov International Airport,RU
BAY,LRBM,Baia Mare,RO
BAZ,SWBC,Barbelos,BR
BBA,SCBA,Teniente Vidal Airport,CL
BBB,KBBB,Benson Municipal Airport,US
BBC,KBYY,Bay City,US
BBD,KBBD,Curtis Field,US
BBG,NGTU,Butaritari,KI
BBH,EDBH,Barth,DE
BBI,VEBS,Biju Patnaik International Airport,IN
BBJ,EDRB,Bitburg Air Base,DE
BBK,FBKE,Kasane Airport,BW
BBL,YLLE,Ballera Airport,AU
BBM,VDBG,Battambang,KH
BBN,WBGZ,Bario Airport,MY
BBO,HCMI,Berbera,SO
BBP,EGHJ,Bembridge,GB
BBQ,TAPH,Barbuda,AG
BBR,TFFB,Baillif,GP
BBS,EGLK,Blackbushe,GB
BBT,FEFT,Berberati,CF
BBU,LRBS,Baneasa,RO
BBV,DIGN,Hkg,CI
BBW,KBBW,Broken Bow,US
BBX,KLOM,Wings Field,US
BBY,FEFM,Bambari,CF
BBZ,FLZB,Zambezi,ZM
BCA,MUBA,Baracoa,CU
BCB,KBCB,Virginia Tech,US
BCC,Z48,Bear Creek,US
BCD,RPVB,Bacolod-Silay International Airport,PH
BCE,KBCE,Bryce,US
BCF,FEGU,Bouca,CF
BCG,SYBE,Bemichi,GY
BCH,WPEC,Cakung International,TL
BCI,YBAR,Barcaldine Airport,AU
BCK,YBWR,Bolwarra,AU
BCL,MRBC,Barra Colorado,CR
BCM,LRBC,Bacau Airport,RO
BCN,LEBL,Barcelona-El Prat Airport,ES
BCO,HABC,Jinka,ET
BCP,AYBC,Bambu,PG
BCR,SWNK,Boca Do Acre,BR
BCS,65LA,Southern Seaplane,US
BCT,KBCT,Public,US
BCU,DNBC,Bauchi,NG
BCX,UWUB,Beloreck,RU
BDA,TXKF,L.F. Wade International Airport,BM
BDB,YBUD,Bundaberg Airport,AU
BDC,SNBC,Barra Do Corda,BR
BDD,YBAU,Badu Island,AU
BDE,KBDE,Baudette,US
BDF,3IS8,Rinkenberger,US
BDG,KBDG,Blanding,US
BDH,OIBL,Bandar Lengeh,IR
BDI,FSSB,Bird Island,SC
BDJ,WAOO,Syamsudin Noor International Airport,ID
BDK,DIBU,Bondoukou,CI
BDL,KBDL,Bradley International Airport,US
BDM,LTBG,Bandirma,TR
BDN,OPTH,Talhar,PK
BDO,WICC,Husein Sastranegara Airport,ID
BDP,VNCG,Bhadrapur Airport,NP
BDQ,VABO,Vadodara Airport,IN
BDR,KBDR,Igor I. Sikorsky Memorial,US
BDS,LIBR,Brindisi - Salento Airport,IT
BDT,FZFD,Gbadolite,CD
BDU,ENDU,Bardufoss Airport,NO
BDV,FZRB,Moba,CD
BDW,YBDF,Bedford Downs,AU
BDX,00F,Broadus,US
BDY,S05,State,US
BDZ,AYBG,Baindoung,PG
BEB,EGPL,Benbecula Airport,GB
BEC,KBEC,Beech,US
BED,KBED,Hanscom Field,US
BEE,YBGB,Beagle Bay,AU
BEF,MNBL,Bluefields,NI
BEG,LYBE,Belgrad Nikola Tesla Airport,RS
BEH,KBEH,Ross Field,US
BEI,HABE,Beica,ET
BEJ,WAQT,Kalimarau Airport,ID
BEK,VIBY,Bareli,IN
BEL,SBBE,Val De Cans International Airport,BR
BEM,GMMD,Beni Mellal Airport,MA
BEN,HLLB,Benina International,LY
BEO,YLMQ,Belmont,AU
BEP,VOBI,Bellary,IN
BEQ,EGXH,Honington,GB
BER,EDDB,Berlin Brandenburg Airport,DE
BES,LFRB,Brest Bretagne Airport,FR
BET,PABE,Bethel Airport,US
BEU,YBIE,Bedourie,AU
BEV,LLBS,Beer Sheba,IL
BEW,FQBR,Beira Airport,MZ
BEX,EGUB,Benson RAF Station,GB
BEY,OLBA,Beirut-Rafic Hariri International Airport,LB
BEZ,NGBR,Beru,KI
BFA,SGBN,Bahia Negra,PY
BFC,YBMD,Bloomfield,AU
BFD,KBFD,Bradford Airport,US
BFE,EDLI,Bielefeld,DE
BFF,KBFF,Western Nebraska Regional Airport,US
BFG,KU07,Bullfrog Basin,US
BFH,SBBI,Bacacheri,BR
BFI,KBFI,Boeing Field International Airport,US
BFJ,ZUBJ,Bijie Airport,CN
BFK,KBKF,Buffalo Municipal Airport,US
BFL,KBFL,Meadows Field Airport,US
BFM,KBFM,Mobile Downtown Airport,US
BFN,FABL,Bram Fischer International Airport,ZA
BFO,FVCZ,Buffalo Range,ZW
BFP,KBVI,Beaver Falls,US
BFR,KBFR,Virgil I Grissom Municipalcipal,US
BFS,EGAA,Belfast International Airport,GB
BFT,KARW,County,US
BFU,ZSBB,Bengbu,CN
BFV,VTUO,Buri Ram Airport,TH
BFW,DAOS,Sidi Belabbes,DZ
BFX,FKKU,Bafoussam,CM
BGA,SKBG,Palonegro International Airport,CO
BGB,FOGB,Booue,GA
BGC,LPBG,Braganca Airport,PT
BGD,KBGD,Borger,US
BGE,KBGE,Decatur County,US
BGF,FEFF,Bangui Airport,CF
BGG,LTCU,Bingol Airport,TR
BGH,GQNE,Abbaye,MR
BGI,TBPB,Grantley Adams International Airport,BB
BGJ,BIBF,Borgarfjordur Eystri,IS
BGK,MZBG,Big Creek,BZ
BGL,VNBL,Baglung,NP
BGM,KBGM,Greater Binghamton Airport,US
BGN,UESG,Belaya Gora Airport,RU
BGO,ENBR,Bergen Airport,NO
BGQ,PAGQ,Big Lake,US
BGR,KBGR,Bangor International Airport,US
BGT,E51,Bagdad,US
BGU,FEFG,Bangassou,CF
BGV,SSBG,Bento Goncalves,BR
BGW,ORBI,Baghdad International Airport,IQ
BGX,SBBG,Airport Cmdt. Gustavo Kraemer,BR
BGY,LIME,Orio al Serio International Airport,IT
BGZ,LPBR,Braga,PT
BHA,SESV,Bahia De Caraquez,EC
BHB,KBHB,Bar Harbor Airport,US
BHD,EGAC,George Best Belfast City Airport,GB
BHE,NZWB,Woodbourne Airport,NZ
BHG,MHBL,Brus Laguna,HN
BHH,OEBH,Bisha Airport,SA
BHI,SAZB,Comandante Airport,AR
BHJ,VABJ,Rudra Mata Airport,IN
BHK,UTSB,Bukhara Airport,UZ
BHM,KBHM,Birmingham-Shuttlesworth International Airport,US
BHN,OYBN,Beihan,YE
BHO,VABP,Raja Bhoj Airport,IN
BHP,VNBJ,Bhojpur,NP
BHQ,YBHI,Broken Hill Airport,AU
BHR,VNBP,Bharatpur Airport,NP
BHS,YBTH,Raglan Airport,AU
BHU,VABV,Bhavnagar Airport,IN
BHV,OPBW,Bahawalpur Airport,PK
BHW,OPBG,Bhagatanwala Airport,PK
BHX,EGBB,Birmingham International Airport,GB
BHY,ZGBH,Beihai Fucheng Airport,CN
BIA,LFKB,Bastia Poretta Airport,FR
BIB,HCMB,Baidoa,SO
BIC,LFEA,Aérodrome de Belle Île,FR
BID,KBID,Block Island,US
BIE,KBIE,Beatrice,US
BIF,KBIF,Biggs AAF,US
BIG,PABI,Intermediate Field,US
BIH,KBIH,Bishop,US
BIK,WABB,Mokmer Airport,ID
BIL,KBIL,Billings Logan International Airport,US
BIM,MYBS,Bimini International Airport,BS
BIN,OABN,Bamiyan,AF
BIO,LEBB,Bilbao Airport,ES
BIP,YBWM,Bulimba,AU
BIQ,LFBZ,Biarritz - Anglet - Bayonne Airport,FR
BIR,VNVT,Biratnagar Airport,NP
BIS,KBIS,Bismarck Airport,US
BIT,VNBT,Baitadi,NP
BIU,BIBD,Bildudalur,IS
BIV,FEFR,Bria,CF
BIW,YBIL,Billiluna,AU
BIX,KBIX,Keesler AFB,US
BIY,FABE,Bisho,ZA
BJA,DAAE,Bejaia Airport,DZ
BJB,OIMN,Bojnord,IR
BJC,KBJC,Jeffco,US
BJD,BIBK,Bakkafjordur,IS
BJF,ENBS,Batsfjord Airport,NO
BJH,VNBG,Bajhang,NP
BJI,KBJI,Bemidji Airport,US
BJJ,KBJJ,Wayne County,US
BJK,WAPK,Benjina,ID
BJL,GBYD,Yundum International Airport,GM
BJM,HBBA,Bujumbura International Airport,BI
BJO,SLBJ,Bermejo,BO
BJP,SBBP,Braganca Paulista,BR
BJR,HABD,Bahar Dar Airport,ET
BJU,VNBR,Bajura Airport,NP
